id,loan_amnt,funded_amnt,funded_amnt_inv,term_months,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,last_pymnt_d,collection_recovery_fee,last_pymnt_amnt,last_credit_pull_d,collections_12_mths_ex_med,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,disbursement_method
1474286,30000,30000,30000,36,22.35,1151.16,5,1,100000,1,122018,0,1,0,0,11,1,15603,37,19,0,0,30026.4425,30026.44,30000,26.44,0,0,1192020,0,30082.32,19-Jan,0,2,0,0,472330,1,3,2,2,2,82850,75,0,1,9713,60,42200,1,1,3,4,42939,15181,46.9,0,0,83,73,23,2,1,23,8,0,3,4,3,5,10,6,8,4,11,0,0,2,89.5,33.3,1,527120,98453,28600,101984,1
1474287,40000,40000,40000,60,16.14,975.71,0.5,1,45000,2,122018,0,2,0,0,18,0,34971,64.5,37,0,0,40856.67896,40856.68,40000,856.68,0,0,2192020,0,40910.48,19-Feb,0,2,0,0,271068,2,8,3,4,5,126749,87,1,1,5874,75,54200,4,2,4,5,15059,14930,67.3,0,0,114,70,2,2,1,2,9,0,7,9,7,7,26,9,10,9,18,0,0,4,100,42.9,0,344802,161720,45700,167965,1
1474288,20000,20000,20000,36,7.56,622.68,10,1,100000,0,122018,0,2,0,0,9,0,25416,29.9,19,0,0,20215.79243,20215.79,20000,215.79,0,0,2192020,0,20228.39,19-Feb,0,2,0,0,515779,1,2,0,1,13,46153,71,1,2,9759,39,85100,2,2,0,5,57309,59684,29.9,0,0,171,238,1,1,5,1,13,0,5,5,5,6,5,5,9,5,9,0,0,1,94.7,20,0,622183,71569,85100,74833,1
1474289,4500,4500,4500,36,11.31,147.99,10,2,38500,0,122018,0,2,0,0,12,0,4472,15.3,25,0,0,4549.217149,4549.22,4500,49.22,0,0,2192020,0,4553.46,19-Feb,0,1,0,306,29137,2,1,1,1,3,24665,100,3,7,3612,54,29200,0,3,3,8,2428,10735,28.9,0,0,180,69,2,2,0,2,6,1,3,5,5,6,10,11,15,5,12,0,0,4,91.7,0,0,53795,29137,15100,24595,1
1474290,8425,8425,8425,36,27.27,345.18,3,1,450000,2,122018,0,2,0,0,21,0,36812,65.7,37,0,0,8735.148975,8735.15,8425,310.15,0,0,2192020,0,8754.3,19-Feb,0,2,0,0,690320,0,6,1,6,12,152382,70,1,4,9744,68,56000,7,0,5,10,34516,11632,74.6,0,0,254,89,12,12,4,18,4,0,6,8,8,10,16,13,17,8,21,0,0,2,100,50,0,768304,189194,45800,189054,1
1474291,20000,20000,20000,60,17.97,507.55,4,2,57000,0,122018,0,1,0,0,10,0,33356,45.9,16,0,0,20013.57733,20013.58,20000,13.58,0,0,1192020,0,20043.53,19-Jan,0,1,0,0,33356,2,0,0,0,78,0,,2,3,18416,46,72700,0,0,0,3,3336,32170,50.4,0,0,78,284,5,5,1,27,17,0,4,7,6,9,1,10,14,7,10,0,0,2,100,33.3,0,72700,33356,64800,0,1
1474292,6600,6600,6325,36,11.31,217.05,10,2,45000,0,122018,0,2,0,0,6,0,6167,58.2,13,0,0,6622.809,6346.86,6600,22.81,0,0,1192020,0,6629.03,19-Feb,0,1,0,0,26836,0,2,0,0,27,20669,74,0,2,3356,70,10600,0,1,0,2,4473,4433,58.2,0,0,116,108,18,18,0,18,,0,2,2,4,4,5,4,8,2,6,0,0,0,84.6,50,0,38607,26836,10600,28007,1
1474294,4000,4000,4000,36,17.97,144.55,5,1,60000,1,122018,0,9,0,1,11,0,382,7.3,18,0,0,4049.916667,4049.92,4000,49.92,0,0,2192020,0,55.91,19-Jan,0,1,0,0,106556,2,3,3,4,1,45868,77,1,6,378,72,5200,3,0,3,10,9687,3818,9.1,0,0,57,31,12,1,2,15,2,1,2,2,5,5,9,7,7,2,11,0,0,4,88.2,0,0,127200,46250,4200,59474,1
1474295,2700,2700,2675,36,8.19,84.85,4,3,24000,0,122018,0,2,0,0,21,1,2696,36.4,28,0,0,2700.83813,2675.83,2700,0.84,0,0,1192020,0,2702.68,19-Feb,0,1,0,449,75363,0,17,0,3,16,72667,103,0,1,2696,97,7400,1,0,0,4,3589,3304,44.9,0,0,130,194,19,16,0,19,18,0,1,1,2,4,21,4,7,1,21,0,0,0,100,0,1,78017,75363,6000,70617,1
1474296,1000,1000,1000,36,23.4,38.92,3,2,60000,1,122018,0,1,0,0,4,0,13326,72.8,38,0,0,1022.649016,1022.65,1000,22.65,0,0,2192020,0,1024.6,19-Feb,0,1,0,0,167564,1,2,1,2,0,154238,97,0,0,7688,85,18300,0,3,1,2,41891,4974,72.8,0,0,135,131,61,0,0,62,0,1,2,2,2,7,28,2,10,2,4,0,0,1,97.3,50,0,156105,167564,18300,137805,1
